Tue Mar 24 17:30:04 2026    profiling_results/s3_inference_metadata_burst_run2.prof

         1119691 function calls (1094421 primitive calls) in 0.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4403    0.002    0.000    0.030    0.000 model.py:210(_resolve_shape_ref)
      112    0.001    0.000    0.029    0.000 client.py:1121(_emit_api_params)
       75    0.000    0.000    0.028    0.000 utils.py:75(method_names_from_class)
       75    0.000    0.000    0.028    0.000 inspect.py:621(getmembers)
     4411    0.005    0.000    0.028    0.000 model.py:782(resolve_shape_ref)
       75    0.011    0.000    0.028    0.000 inspect.py:579(_getmembers)
      112    0.000    0.000    0.027    0.000 useragent.py:659(rebuild_and_replace_user_agent_handler)
      112    0.002    0.000    0.026    0.000 base_backend.py:63(urls)
      112    0.004    0.000    0.026    0.000 responses.py:285(setup_class)
       35    0.000    0.000    0.025    0.001 responses.py:1731(_key_response_put)
      698    0.008    0.000    0.024    0.000 inspect.py:2392(_signature_from_function)
       77    0.002    0.000    0.024    0.000 model.py:271(load_rename_map)
  307/283    0.000    0.000    0.023    0.000 session.py:1198(get_component)
   114367    0.021    0.000    0.023    0.000 {built-in method builtins.isinstance}
       19    0.000    0.000    0.023    0.001 loaders.py:456(load_data)
       35    0.001    0.000    0.023    0.001 responses.py:1781(put_object)
        1    0.000    0.000    0.023    0.023 config.py:64(s3_client)
3190/1378    0.003    0.000    0.022    0.000 copy.py:62(copy)
      112    0.000    0.000    0.022    0.000 validate.py:208(validate)
 2819/112    0.003    0.000    0.022    0.000 validate.py:232(_validate)
 2784/112    0.002    0.000    0.021    0.000 validate.py:52(_on_passes_type_check)
  902/112    0.002    0.000    0.021    0.000 validate.py:272(_validate_structure)
       25    0.000    0.000    0.020    0.001 session.py:828(_get_internal_component)
        4    0.000    0.000    0.020    0.005 client.py:239(_load_service_endpoints_ruleset)
     6683    0.009    0.000    0.020    0.000 awsrequest.py:619(__getitem__)
        1    0.000    0.000    0.020    0.020 session.py:205(create_default_resolver)
       74    0.000    0.000    0.020    0.000 models.py:1816(_url_module)
        4    0.000    0.000    0.020    0.005 hooks.py:500(__copy__)
      613    0.001    0.000    0.020    0.000 endpoint_provider.py:448(evaluate)
        4    0.000    0.000    0.020    0.005 hooks.py:393(__copy__)
      112    0.000    0.000    0.020    0.000 endpoint.py:146(prepare_request)
       75    0.002    0.000    0.019    0.000 model.py:403(get_attributes)
        4    0.000    0.000    0.019    0.005 hooks.py:638(__copy__)
   1524/4    0.015    0.000    0.019    0.005 hooks.py:648(_recursive_copy)
       74    0.000    0.000    0.019    0.000 __init__.py:94(reload)
     4561    0.008    0.000    0.019    0.000 model.py:765(get_shape_by_name)
      189    0.000    0.000    0.018    0.000 awsrequest.py:479(prepare)
      189    0.001    0.000    0.018    0.000 awsrequest.py:366(prepare)
        4    0.000    0.000    0.017    0.004 __init__.py:73(_get_default_session)
        1    0.000    0.000    0.017    0.017 __init__.py:28(setup_default_session)
        1    0.000    0.000    0.017    0.017 session.py:55(__init__)
       37    0.000    0.000    0.017    0.000 responses.py:179(setup_class)
6180/5869    0.006    0.000    0.017    0.000 endpoint_provider.py:106(resolve_value)
      189    0.001    0.000    0.017    0.000 awsrequest.py:388(_prepare_headers)
      224    0.002    0.000    0.017    0.000 auth.py:242(headers_to_sign)
     2139    0.009    0.000    0.017    0.000 hooks.py:454(_alias_event_name)
       70    0.001    0.000    0.016    0.000 validate.py:351(_validate_map)
      112    0.000    0.000    0.016    0.000 responses.py:637(_enrich_response)
     5075    0.008    0.000    0.016    0.000 dynamo_type.py:209(size)
    62660    0.016    0.000    0.016    0.000 {method 'get' of 'dict' objects}
      112    0.002    0.000    0.015    0.000 regions.py:544(_get_provider_params)
     4257    0.015    0.000    0.015    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.015    0.015 profiling_senarios.py:80(_create_s3_buckets)
      112    0.001    0.000    0.015    0.000 aws_headers.py:31(gen_amzn_requestid_long)
        1    0.000    0.000    0.015    0.015 session.py:1326(get_session)
        1    0.000    0.000    0.015    0.015 session.py:99(__init__)
      300    0.000    0.000    0.015    0.000 transform.py:277(transform)
 2684/300    0.002    0.000    0.015    0.000 transform.py:291(_transform_parameters)
      124    0.000    0.000    0.015    0.000 session.py:723(register)
      112    0.001    0.000    0.015    0.000 parsers.py:238(parse)
        1    0.000    0.000    0.015    0.015 session.py:249(_register_builtin_handlers)
      112    0.002    0.000    0.014    0.000 moto_random.py:25(get_random_string)
 1944/300    0.001    0.000    0.014    0.000 transform.py:300(_transform_structure)
       74    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:845(_exec)
     2025    0.008    0.000    0.013    0.000 factory.py:361(_create_autoload_property)
     3937    0.008    0.000    0.013    0.000 <frozen posixpath>:72(join)
      476    0.002    0.000    0.013    0.000 <frozen _collections_abc>:979(update)
      112    0.000    0.000    0.013    0.000 base_backend.py:105(url_bases)
     4578    0.006    0.000    0.012    0.000 awsrequest.py:616(__setitem__)
