Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run5.prof

         331749 function calls (322110 primitive calls) in 0.301 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2688    0.002    0.000    0.011    0.000 <frozen genericpath>:36(isfile)
        1    0.000    0.000    0.011    0.011 config.py:76(get_table)
 1070/976    0.002    0.000    0.011    0.000 endpoint_provider.py:133(call_function)
 2341/529    0.002    0.000    0.009    0.000 copy.py:62(copy)
        1    0.000    0.000    0.009    0.009 config.py:70(dynamodb_resource)
  326/215    0.001    0.000    0.009    0.000 inspect.py:2496(_signature_from_callable)
      786    0.001    0.000    0.008    0.000 useragent.py:199(to_string)
        5    0.000    0.000    0.008    0.002 response.py:198(__call__)
        1    0.000    0.000    0.008    0.008 models.py:72(__enter__)
        1    0.000    0.000    0.008    0.008 models.py:79(start)
        1    0.001    0.001    0.008    0.008 models.py:212(_enable_patching)
        4    0.000    0.000    0.008    0.002 hooks.py:500(__copy__)
        4    0.000    0.000    0.008    0.002 hooks.py:393(__copy__)
        4    0.000    0.000    0.008    0.002 hooks.py:638(__copy__)
   1524/4    0.003    0.000    0.008    0.002 hooks.py:648(_recursive_copy)
        4    0.000    0.000    0.008    0.002 preprocess.py:189(downsample_to_square)
        4    0.000    0.000    0.008    0.002 Image.py:2220(resize)
        4    0.007    0.002    0.007    0.002 {method 'resize' of 'ImagingCore' objects}
        8    0.000    0.000    0.007    0.001 factory.py:41(load_from_definition)
 1163/631    0.001    0.000    0.007    0.000 utils.py:1178(__get__)
        8    0.000    0.000    0.007    0.001 responses.py:1469(_key_response)
      215    0.002    0.000    0.007    0.000 inspect.py:2392(_signature_from_function)
     2164    0.001    0.000    0.007    0.000 useragent.py:141(sanitize_user_agent_string_component)
    35509    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.007    0.002 args.py:686(_build_endpoint_resolver)
       23    0.000    0.000    0.006    0.000 auth.py:370(canonical_request)
3047/2894    0.004    0.000    0.006    0.000 {method 'join' of 'str' objects}
  336/122    0.000    0.000    0.006    0.000 configprovider.py:489(get_config_variable)
       23    0.000    0.000    0.006    0.000 base_backend.py:63(urls)
       23    0.000    0.000    0.006    0.000 client.py:1121(_emit_api_params)
       23    0.001    0.000    0.006    0.000 responses.py:285(setup_class)
  402/200    0.001    0.000    0.006    0.000 configprovider.py:706(provide)
      178    0.000    0.000    0.006    0.000 endpoint_provider.py:448(evaluate)
        8    0.000    0.000    0.006    0.001 responses.py:1731(_key_response_put)
     1347    0.001    0.000    0.006    0.000 <frozen genericpath>:48(isdir)
       23    0.000    0.000    0.005    0.000 validate.py:417(serialize_to_request)
       23    0.000    0.000    0.005    0.000 useragent.py:659(rebuild_and_replace_user_agent_handler)
        4    0.000    0.000    0.005    0.001 regions.py:466(__init__)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:704(__init__)
        8    0.000    0.000    0.005    0.001 responses.py:1781(put_object)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:654(__init__)
1888/1730    0.002    0.000    0.005    0.000 endpoint_provider.py:106(resolve_value)
       13    0.000    0.000    0.005    0.000 utils.py:75(method_names_from_class)
        4    0.000    0.000    0.005    0.001 client.py:192(_create_client_class)
       13    0.000    0.000    0.005    0.000 inspect.py:621(getmembers)
       13    0.002    0.000    0.005    0.000 inspect.py:579(_getmembers)
   896/12    0.001    0.000    0.005    0.000 endpoint_provider.py:557(create)
     1232    0.002    0.000    0.005    0.000 __init__.py:652(__init__)
    312/8    0.002    0.000    0.005    0.001 endpoint_provider.py:531(__init__)
        8    0.000    0.000    0.005    0.001 transform.py:40(__init__)
     9805    0.005    0.000    0.005    0.000 {method 'index' of 'list' objects}
       20    0.000    0.000    0.005    0.000 models.py:1816(_url_module)
       23    0.000    0.000    0.005    0.000 parsers.py:238(parse)
       20    0.000    0.000    0.005    0.000 __init__.py:94(reload)
        8    0.000    0.000    0.005    0.001 responses.py:51(_wrapper)
        4    0.000    0.000    0.004    0.001 args.py:230(compute_client_args)
       37    0.000    0.000    0.004    0.000 model.py:222(members)
        8    0.000    0.000    0.004    0.001 responses.py:602(put_item)
      212    0.000    0.000    0.004    0.000 configprovider.py:799(provide)
       10    0.000    0.000    0.004    0.000 responses.py:179(setup_class)
     1483    0.002    0.000    0.004    0.000 awsrequest.py:619(__getitem__)
    17361    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
      220    0.000    0.000    0.004    0.000 session.py:391(get_scoped_config)
        4    0.000    0.000    0.004    0.001 client.py:572(_create_methods)
  240/224    0.000    0.000    0.004    0.000 session.py:320(get_config_variable)
        4    0.000    0.000    0.004    0.001 endpoint.py:390(create_endpoint)
       23    0.000    0.000    0.004    0.000 endpoint.py:146(prepare_request)
      539    0.000    0.000    0.004    0.000 model.py:210(_resolve_shape_ref)
      547    0.001    0.000    0.004    0.000 model.py:782(resolve_shape_ref)
        6    0.000    0.000    0.004    0.001 httpsession.py:298(__init__)
     2149    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x7fda030facc0}
       38    0.000    0.000    0.004    0.000 awsrequest.py:479(prepare)
       38    0.000    0.000    0.004    0.000 awsrequest.py:366(prepare)
       23    0.000    0.000    0.004    0.000 regions.py:544(_get_provider_params)
        6    0.000    0.000    0.003    0.001 httpsession.py:347(_get_pool_manager_kwargs)
    12534    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      336    0.001    0.000    0.003    0.000 client.py:590(_create_api_method)
        6    0.000    0.000    0.003    0.001 httpsession.py:361(_get_ssl_context)
       46    0.000    0.000    0.003    0.000 auth.py:242(headers_to_sign)
        6    0.000    0.000    0.003    0.001 httpsession.py:113(create_urllib3_context)
       38    0.000    0.000    0.003    0.000 awsrequest.py:388(_prepare_headers)
       23    0.000    0.000    0.003    0.000 validate.py:208(validate)
   377/23    0.000    0.000    0.003    0.000 validate.py:232(_validate)
       23    0.000    0.000    0.003    0.000 responses.py:637(_enrich_response)
        4    0.000    0.000    0.003    0.001 client.py:244(_register_retries)
     1006    0.001    0.000    0.003    0.000 <frozen _collections_abc>:815(__contains__)
        4    0.000    0.000    0.003    0.001 client.py:267(_register_legacy_retries)
        8    0.000    0.000    0.003    0.000 __init__.py:257(put_item)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:845(_exec)
        8    0.000    0.000    0.003    0.000 table.py:617(put_item)
   369/23    0.000    0.000    0.003    0.000 validate.py:52(_on_passes_type_check)
   131/30    0.000    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
   115/23    0.000    0.000    0.003    0.000 validate.py:272(_validate_structure)
       23    0.000    0.000    0.003    0.000 aws_headers.py:31(gen_amzn_requestid_long)
        6    0.000    0.000    0.003    0.000 ssl.py:430(__new__)
        8    0.000    0.000    0.003    0.000 factory.py:196(_load_attributes)
      448    0.001    0.000    0.003    0.000 hooks.py:30(__copy__)
       23    0.000    0.000    0.003    0.000 moto_random.py:25(get_random_string)
        4    0.000    0.000    0.003    0.001 gzip.py:335(read)
