Tue Mar 24 17:30:06 2026    profiling_results/s3_inference_metadata_burst_run4.prof

         1119680 function calls (1094410 primitive calls) in 0.953 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.956    0.956 profiling_senarios.py:375(run_scenario)
        1    0.001    0.001    0.956    0.956 profiling_senarios.py:275(scenario_s3_inference_metadata_burst)
      116    0.002    0.000    0.746    0.006 context.py:118(wrapper)
      112    0.000    0.000    0.630    0.006 client.py:593(_api_call)
      112    0.003    0.000    0.626    0.006 client.py:994(_make_api_call)
      112    0.000    0.000    0.434    0.004 client.py:1082(_make_request)
      112    0.001    0.000    0.434    0.004 endpoint.py:113(make_request)
      112    0.001    0.000    0.433    0.004 endpoint.py:192(_send_request)
1217/1097    0.003    0.000    0.421    0.000 hooks.py:410(emit)
1441/1209    0.013    0.000    0.417    0.000 hooks.py:205(_emit)
1217/1097    0.001    0.000    0.414    0.000 hooks.py:245(emit)
       75    0.000    0.000    0.373    0.005 factory.py:580(do_action)
       75    0.001    0.000    0.373    0.005 action.py:63(__call__)
      112    0.001    0.000    0.290    0.003 endpoint.py:233(_get_response)
      112    0.002    0.000    0.287    0.003 endpoint.py:261(_do_get_response)
       35    0.000    0.000    0.269    0.008 inference_service.py:50(upload_raw_image)
      112    0.001    0.000    0.261    0.002 botocore_stubber.py:32(__call__)
      112    0.009    0.000    0.257    0.002 botocore_stubber.py:45(process_request)
       35    0.001    0.000    0.250    0.007 inference_service.py:122(create_inference_record)
       35    0.000    0.000    0.238    0.007 inference_service.py:86(save_image_metadata)
1673/1651    0.001    0.000    0.200    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.197    0.099 profiling_senarios.py:142(mock_artguard_aws)
  117/108    0.000    0.000    0.197    0.002 contextlib.py:136(__enter__)
       70    0.000    0.000    0.149    0.002 config.py:76(get_table)
       70    0.002    0.000    0.139    0.002 factory.py:505(create_resource)
      112    0.001    0.000    0.131    0.001 endpoint.py:121(create_request)
       75    0.000    0.000    0.126    0.002 responses.py:281(dispatch)
       75    0.000    0.000    0.125    0.002 responses.py:457(_dispatch)
        2    0.000    0.000    0.117    0.058 __init__.py:87(client)
        4    0.000    0.000    0.116    0.029 session.py:233(client)
        4    0.000    0.000    0.116    0.029 session.py:846(create_client)
       75    0.000    0.000    0.110    0.001 aws_headers.py:43(_wrapper)
       75    0.000    0.000    0.109    0.001 responses.py:258(call_action)
       75    0.001    0.000    0.107    0.001 responses.py:574(call_action)
       77    0.004    0.000    0.103    0.001 factory.py:41(load_from_definition)
        4    0.000    0.000    0.091    0.023 client.py:103(create_client)
    51/30    0.000    0.000    0.090    0.003 loaders.py:137(_wrapper)
      112    0.000    0.000    0.073    0.001 signers.py:103(handler)
      112    0.000    0.000    0.073    0.001 client.py:1146(_resolve_endpoint_ruleset)
      112    0.001    0.000    0.072    0.001 signers.py:110(sign)
      112    0.001    0.000    0.071    0.001 regions.py:490(construct_endpoint)
      112    0.001    0.000    0.069    0.001 client.py:1093(_convert_to_request_dict)
        5    0.000    0.000    0.068    0.014 loaders.py:375(load_service_model)
      687    0.001    0.000    0.065    0.000 hooks.py:418(register)
       35    0.000    0.000    0.064    0.002 responses.py:329(key_dispatch)
      112    0.001    0.000    0.063    0.001 auth.py:427(add_auth)
       35    0.000    0.000    0.063    0.002 responses.py:1441(key_response)
       70    0.000    0.000    0.059    0.001 responses.py:51(_wrapper)
       70    0.001    0.000    0.057    0.001 responses.py:602(put_item)
      228    0.005    0.000    0.057    0.000 useragent.py:411(to_string)
      112    0.001    0.000    0.052    0.000 utils.py:1515(inner)
      698    0.001    0.000    0.051    0.000 hooks.py:143(_verify_and_register)
      687    0.001    0.000    0.051    0.000 hooks.py:84(register)
       44    0.000    0.000    0.050    0.001 utils.py:1511(func_with_weakref)
       44    0.000    0.000    0.050    0.001 endpoint_provider.py:707(resolve_endpoint)
       44    0.000    0.000    0.050    0.001 endpoint_provider.py:688(evaluate)
   699/58    0.002    0.000    0.049    0.001 endpoint_provider.py:535(evaluate)
      698    0.001    0.000    0.046    0.000 hooks.py:175(_verify_accept_kwargs)
      698    0.001    0.000    0.046    0.000 compat.py:72(accepts_kwargs)
       77    0.003    0.000    0.046    0.001 factory.py:196(_load_attributes)
        3    0.004    0.001    0.045    0.015 loaders.py:279(list_available_services)
       77    0.001    0.000    0.045    0.001 transform.py:40(__init__)
      698    0.007    0.000    0.045    0.000 inspect.py:1336(getfullargspec)
       14    0.000    0.000    0.044    0.003 loaders.py:437(load_data_with_path)
       70    0.000    0.000    0.044    0.001 __init__.py:257(put_item)
       70    0.001    0.000    0.043    0.001 table.py:617(put_item)
       19    0.000    0.000    0.043    0.002 loaders.py:184(load_file)
       32    0.000    0.000    0.043    0.001 loaders.py:172(_load_file)
     1571    0.002    0.000    0.043    0.000 endpoint_provider.py:421(evaluate_conditions)
     3634    0.007    0.000    0.043    0.000 useragent.py:199(to_string)
3427/3216    0.009    0.000    0.041    0.000 endpoint_provider.py:133(call_function)
      230    0.001    0.000    0.041    0.000 __init__.py:304(loads)
        2    0.000    0.000    0.040    0.020 __init__.py:96(resource)
        2    0.000    0.000    0.040    0.020 session.py:341(resource)
 1301/769    0.001    0.000    0.040    0.000 utils.py:1178(__get__)
