Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run4.prof

         331751 function calls (322112 primitive calls) in 0.319 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.011    0.000 client.py:1093(_convert_to_request_dict)
       50    0.001    0.000    0.011    0.000 useragent.py:411(to_string)
 1070/976    0.002    0.000    0.011    0.000 endpoint_provider.py:133(call_function)
      215    0.000    0.000    0.011    0.000 hooks.py:175(_verify_accept_kwargs)
     1290    0.011    0.000    0.011    0.000 {built-in method posix.listdir}
      215    0.000    0.000    0.011    0.000 compat.py:72(accepts_kwargs)
     2688    0.002    0.000    0.011    0.000 <frozen genericpath>:36(isfile)
      215    0.002    0.000    0.011    0.000 inspect.py:1336(getfullargspec)
        1    0.000    0.000    0.011    0.011 config.py:76(get_table)
        1    0.000    0.000    0.009    0.009 config.py:70(dynamodb_resource)
      786    0.001    0.000    0.009    0.000 useragent.py:199(to_string)
  326/215    0.001    0.000    0.009    0.000 inspect.py:2496(_signature_from_callable)
        5    0.000    0.000    0.008    0.002 response.py:198(__call__)
        4    0.000    0.000    0.008    0.002 preprocess.py:189(downsample_to_square)
        4    0.000    0.000    0.008    0.002 Image.py:2220(resize)
        4    0.008    0.002    0.008    0.002 {method 'resize' of 'ImagingCore' objects}
        8    0.000    0.000    0.008    0.001 factory.py:41(load_from_definition)
        8    0.000    0.000    0.007    0.001 responses.py:1469(_key_response)
 1163/631    0.001    0.000    0.007    0.000 utils.py:1178(__get__)
     2164    0.002    0.000    0.007    0.000 useragent.py:141(sanitize_user_agent_string_component)
    35509    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.007    0.007 models.py:72(__enter__)
        1    0.000    0.000    0.007    0.007 models.py:79(start)
        1    0.001    0.001    0.007    0.007 models.py:212(_enable_patching)
      215    0.002    0.000    0.007    0.000 inspect.py:2392(_signature_from_function)
       23    0.000    0.000    0.007    0.000 base_backend.py:63(urls)
3047/2894    0.004    0.000    0.007    0.000 {method 'join' of 'str' objects}
       23    0.000    0.000    0.006    0.000 auth.py:370(canonical_request)
     1347    0.001    0.000    0.006    0.000 <frozen genericpath>:48(isdir)
        4    0.000    0.000    0.006    0.002 args.py:686(_build_endpoint_resolver)
      178    0.000    0.000    0.006    0.000 endpoint_provider.py:448(evaluate)
        8    0.000    0.000    0.006    0.001 responses.py:1731(_key_response_put)
       23    0.000    0.000    0.006    0.000 client.py:1121(_emit_api_params)
  336/122    0.000    0.000    0.006    0.000 configprovider.py:489(get_config_variable)
       23    0.001    0.000    0.006    0.000 responses.py:285(setup_class)
        8    0.000    0.000    0.006    0.001 responses.py:1781(put_object)
  402/200    0.001    0.000    0.005    0.000 configprovider.py:706(provide)
       23    0.000    0.000    0.005    0.000 useragent.py:659(rebuild_and_replace_user_agent_handler)
1888/1730    0.002    0.000    0.005    0.000 endpoint_provider.py:106(resolve_value)
       23    0.000    0.000    0.005    0.000 validate.py:417(serialize_to_request)
       20    0.000    0.000    0.005    0.000 models.py:1816(_url_module)
       20    0.000    0.000    0.005    0.000 __init__.py:94(reload)
        4    0.000    0.000    0.005    0.001 regions.py:466(__init__)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:704(__init__)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:654(__init__)
       13    0.000    0.000    0.005    0.000 utils.py:75(method_names_from_class)
       23    0.000    0.000    0.005    0.000 parsers.py:238(parse)
       13    0.000    0.000    0.005    0.000 inspect.py:621(getmembers)
     9805    0.005    0.000    0.005    0.000 {method 'index' of 'list' objects}
       13    0.002    0.000    0.005    0.000 inspect.py:579(_getmembers)
       10    0.000    0.000    0.005    0.000 responses.py:179(setup_class)
        8    0.000    0.000    0.005    0.001 transform.py:40(__init__)
   896/12    0.001    0.000    0.005    0.000 endpoint_provider.py:557(create)
    312/8    0.002    0.000    0.005    0.001 endpoint_provider.py:531(__init__)
       37    0.000    0.000    0.005    0.000 model.py:222(members)
     1483    0.002    0.000    0.005    0.000 awsrequest.py:619(__getitem__)
        4    0.000    0.000    0.004    0.001 endpoint.py:390(create_endpoint)
        4    0.000    0.000    0.004    0.001 client.py:192(_create_client_class)
        4    0.000    0.000    0.004    0.001 args.py:230(compute_client_args)
        8    0.000    0.000    0.004    0.001 responses.py:51(_wrapper)
    17361    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
       23    0.000    0.000    0.004    0.000 endpoint.py:146(prepare_request)
      539    0.000    0.000    0.004    0.000 model.py:210(_resolve_shape_ref)
        8    0.000    0.000    0.004    0.001 responses.py:602(put_item)
      212    0.000    0.000    0.004    0.000 configprovider.py:799(provide)
      547    0.001    0.000    0.004    0.000 model.py:782(resolve_shape_ref)
      220    0.000    0.000    0.004    0.000 session.py:391(get_scoped_config)
  240/224    0.000    0.000    0.004    0.000 session.py:320(get_config_variable)
     1232    0.001    0.000    0.004    0.000 __init__.py:652(__init__)
        4    0.000    0.000    0.004    0.001 client.py:572(_create_methods)
       23    0.000    0.000    0.004    0.000 regions.py:544(_get_provider_params)
       38    0.000    0.000    0.004    0.000 awsrequest.py:479(prepare)
       38    0.000    0.000    0.004    0.000 awsrequest.py:366(prepare)
     2149    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x7fda030facc0}
        6    0.000    0.000    0.004    0.001 httpsession.py:298(__init__)
       46    0.000    0.000    0.004    0.000 auth.py:242(headers_to_sign)
       38    0.000    0.000    0.004    0.000 awsrequest.py:388(_prepare_headers)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:845(_exec)
    12534    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
