Tue Mar 24 17:29:28 2026    profiling_results/inference_patch_pipeline_full_run2.prof

         331752 function calls (322113 primitive calls) in 0.296 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.297    0.297 profiling_senarios.py:375(run_scenario)
        1    0.000    0.000    0.297    0.297 profiling_senarios.py:237(scenario_inference_patch_pipeline_full)
       27    0.000    0.000    0.231    0.009 context.py:118(wrapper)
  188/166    0.000    0.000    0.181    0.001 {built-in method builtins.next}
        2    0.000    0.000    0.180    0.090 profiling_senarios.py:142(mock_artguard_aws)
    28/19    0.000    0.000    0.180    0.009 contextlib.py:136(__enter__)
       23    0.000    0.000    0.117    0.005 client.py:593(_api_call)
        1    0.000    0.000    0.116    0.116 inference_service.py:170(create_and_upload_patches)
       23    0.001    0.000    0.116    0.005 client.py:994(_make_api_call)
        4    0.000    0.000    0.115    0.029 session.py:233(client)
        4    0.000    0.000    0.115    0.029 session.py:846(create_client)
        2    0.000    0.000    0.110    0.055 __init__.py:87(client)
        4    0.000    0.000    0.093    0.023 client.py:103(create_client)
    51/30    0.000    0.000    0.090    0.003 loaders.py:137(_wrapper)
       23    0.000    0.000    0.078    0.003 client.py:1082(_make_request)
       23    0.000    0.000    0.078    0.003 endpoint.py:113(make_request)
       23    0.000    0.000    0.078    0.003 endpoint.py:192(_send_request)
  258/227    0.001    0.000    0.075    0.000 hooks.py:410(emit)
  304/250    0.002    0.000    0.071    0.000 hooks.py:205(_emit)
        5    0.000    0.000    0.071    0.014 loaders.py:375(load_service_model)
  258/227    0.000    0.000    0.070    0.000 hooks.py:245(emit)
       13    0.000    0.000    0.063    0.005 factory.py:580(do_action)
       13    0.000    0.000    0.063    0.005 action.py:63(__call__)
        1    0.000    0.000    0.063    0.063 preprocess.py:427(process_image_to_patches)
        4    0.000    0.000    0.062    0.015 preprocess.py:367(_process_single_grid_patch)
        8    0.000    0.000    0.054    0.007 preprocess.py:320(_add_patch_record)
        8    0.000    0.000    0.053    0.007 preprocess.py:283(_upload_patch)
       23    0.000    0.000    0.051    0.002 endpoint.py:233(_get_response)
       23    0.000    0.000    0.051    0.002 endpoint.py:261(_do_get_response)
       14    0.000    0.000    0.047    0.003 loaders.py:437(load_data_with_path)
       19    0.000    0.000    0.047    0.002 loaders.py:184(load_file)
       32    0.000    0.000    0.047    0.001 loaders.py:172(_load_file)
       23    0.000    0.000    0.043    0.002 botocore_stubber.py:32(__call__)
       23    0.002    0.000    0.043    0.002 botocore_stubber.py:45(process_request)
        3    0.003    0.001    0.042    0.014 loaders.py:279(list_available_services)
       44    0.000    0.000    0.042    0.001 __init__.py:304(loads)
       44    0.000    0.000    0.042    0.001 decoder.py:340(decode)
       44    0.041    0.001    0.041    0.001 decoder.py:351(raw_decode)
        2    0.000    0.000    0.039    0.020 __init__.py:96(resource)
        2    0.000    0.000    0.039    0.019 session.py:341(resource)
        4    0.000    0.000    0.037    0.009 client.py:232(_load_service_model)
        1    0.000    0.000    0.031    0.031 profiling_senarios.py:85(_create_dynamodb_tables)
       19    0.000    0.000    0.029    0.002 loaders.py:456(load_data)
       23    0.000    0.000    0.024    0.001 endpoint.py:121(create_request)
      204    0.000    0.000    0.023    0.000 hooks.py:418(register)
        4    0.000    0.000    0.023    0.006 client.py:533(_get_client_args)
        4    0.000    0.000    0.023    0.006 args.py:106(get_client_args)
  307/283    0.000    0.000    0.022    0.000 session.py:1198(get_component)
        4    0.000    0.000    0.020    0.005 client.py:239(_load_service_endpoints_ruleset)
       25    0.000    0.000    0.019    0.001 session.py:828(_get_internal_component)
        1    0.000    0.000    0.019    0.019 session.py:205(create_default_resolver)
        4    0.000    0.000    0.017    0.004 __init__.py:73(_get_default_session)
        1    0.000    0.000    0.017    0.017 __init__.py:28(setup_default_session)
        1    0.000    0.000    0.017    0.017 session.py:55(__init__)
       23    0.000    0.000    0.017    0.001 client.py:1146(_resolve_endpoint_ruleset)
       23    0.000    0.000    0.017    0.001 regions.py:490(construct_endpoint)
      519    0.008    0.000    0.016    0.000 hooks.py:454(_alias_event_name)
        1    0.000    0.000    0.015    0.015 session.py:1326(get_session)
        1    0.000    0.000    0.015    0.015 session.py:99(__init__)
       13    0.000    0.000    0.015    0.001 responses.py:281(dispatch)
      124    0.000    0.000    0.015    0.000 session.py:723(register)
        1    0.000    0.000    0.015    0.015 session.py:249(_register_builtin_handlers)
       13    0.000    0.000    0.015    0.001 responses.py:457(_dispatch)
       23    0.000    0.000    0.013    0.001 signers.py:103(handler)
     4095    0.013    0.000    0.013    0.000 {built-in method posix.stat}
       23    0.000    0.000    0.013    0.001 signers.py:110(sign)
        8    0.000    0.000    0.013    0.002 responses.py:329(key_dispatch)
        8    0.000    0.000    0.013    0.002 responses.py:1441(key_response)
       23    0.000    0.000    0.013    0.001 utils.py:1515(inner)
       16    0.000    0.000    0.012    0.001 utils.py:1511(func_with_weakref)
       16    0.000    0.000    0.012    0.001 endpoint_provider.py:707(resolve_endpoint)
       16    0.000    0.000    0.012    0.001 endpoint_provider.py:688(evaluate)
      215    0.000    0.000    0.012    0.000 hooks.py:143(_verify_and_register)
       13    0.000    0.000    0.012    0.001 aws_headers.py:43(_wrapper)
       13    0.000    0.000    0.012    0.001 responses.py:258(call_action)
     3937    0.007    0.000    0.012    0.000 <frozen posixpath>:72(join)
   230/28    0.001    0.000    0.012    0.000 endpoint_provider.py:535(evaluate)
       13    0.000    0.000    0.012    0.001 responses.py:574(call_action)
      204    0.000    0.000    0.012    0.000 hooks.py:84(register)
        1    0.000    0.000    0.012    0.012 profiling_senarios.py:80(_create_s3_buckets)
     1332    0.002    0.000    0.012    0.000 loaders.py:157(exists)
      215    0.000    0.000    0.011    0.000 hooks.py:175(_verify_accept_kwargs)
       23    0.000    0.000    0.011    0.000 auth.py:427(add_auth)
      215    0.000    0.000    0.011    0.000 compat.py:72(accepts_kwargs)
        1    0.000    0.000    0.011    0.011 config.py:76(get_table)
        1    0.000    0.000    0.011    0.011 config.py:64(s3_client)
      478    0.001    0.000    0.011    0.000 endpoint_provider.py:421(evaluate_conditions)
       50    0.001    0.000    0.011    0.000 useragent.py:411(to_string)
       23    0.000    0.000    0.011    0.000 client.py:1093(_convert_to_request_dict)
      215    0.002    0.000    0.011    0.000 inspect.py:1336(getfullargspec)
     1290    0.010    0.000    0.010    0.000 {built-in method posix.listdir}
     2688    0.002    0.000    0.010    0.000 <frozen genericpath>:36(isfile)
 1070/976    0.002    0.000    0.010    0.000 endpoint_provider.py:133(call_function)
        1    0.000    0.000    0.009    0.009 config.py:70(dynamodb_resource)
 2341/529    0.002    0.000    0.008    0.000 copy.py:62(copy)
  326/215    0.001    0.000    0.008    0.000 inspect.py:2496(_signature_from_callable)
      786    0.001    0.000    0.008    0.000 useragent.py:199(to_string)
        5    0.000    0.000    0.008    0.002 response.py:198(__call__)
        4    0.000    0.000    0.007    0.002 preprocess.py:189(downsample_to_square)
        4    0.000    0.000    0.007    0.002 Image.py:2220(resize)
        4    0.007    0.002    0.007    0.002 {method 'resize' of 'ImagingCore' objects}
        4    0.000    0.000    0.007    0.002 hooks.py:500(__copy__)
        4    0.000    0.000    0.007    0.002 hooks.py:393(__copy__)
        4    0.000    0.000    0.007    0.002 hooks.py:638(__copy__)
        8    0.000    0.000    0.007    0.001 responses.py:1469(_key_response)
        8    0.000    0.000    0.007    0.001 factory.py:41(load_from_definition)
   1524/4    0.003    0.000    0.007    0.002 hooks.py:648(_recursive_copy)
     2164    0.001    0.000    0.007    0.000 useragent.py:141(sanitize_user_agent_string_component)
        1    0.000    0.000    0.007    0.007 models.py:72(__enter__)
        1    0.000    0.000    0.007    0.007 models.py:79(start)
        1    0.001    0.001    0.007    0.007 models.py:212(_enable_patching)
 1163/631    0.001    0.000    0.006    0.000 utils.py:1178(__get__)
      215    0.002    0.000    0.006    0.000 inspect.py:2392(_signature_from_function)
    35509    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.006    0.002 args.py:686(_build_endpoint_resolver)
3047/2894    0.004    0.000    0.006    0.000 {method 'join' of 'str' objects}
       23    0.000    0.000    0.006    0.000 base_backend.py:63(urls)
       23    0.000    0.000    0.006    0.000 auth.py:370(canonical_request)
  336/122    0.000    0.000    0.006    0.000 configprovider.py:489(get_config_variable)
       23    0.000    0.000    0.006    0.000 client.py:1121(_emit_api_params)
       23    0.001    0.000    0.006    0.000 responses.py:285(setup_class)
        8    0.000    0.000    0.006    0.001 responses.py:1731(_key_response_put)
  402/200    0.001    0.000    0.005    0.000 configprovider.py:706(provide)
      178    0.000    0.000    0.005    0.000 endpoint_provider.py:448(evaluate)
        8    0.000    0.000    0.005    0.001 responses.py:1781(put_object)
       23    0.000    0.000    0.005    0.000 useragent.py:659(rebuild_and_replace_user_agent_handler)
     1347    0.001    0.000    0.005    0.000 <frozen genericpath>:48(isdir)
        4    0.000    0.000    0.005    0.001 regions.py:466(__init__)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:704(__init__)
       23    0.000    0.000    0.005    0.000 validate.py:417(serialize_to_request)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:654(__init__)
